id,titulo,autores,ano,link,texto
42,Changing Data Sources in the Age of Machine Learning for Official Statistics,"Cedric De Boom, Michael Reusens",2023,http://arxiv.org/abs/2306.04338v1,
43,DOME: Recommendations for supervised machine learning validation in biology,"Ian Walsh, Dmytro Fishman, Dario Garcia-Gasulla, Tiina Titma, Gianluca Pollastri, The ELIXIR Machine Learning focus group, Jen Harrow, Fotis E. Psomopoulos, Silvio C. E. Tosatto",2020,http://arxiv.org/abs/2006.16189v4,
44,Learning Curves for Decision Making in Supervised Machine Learning: A Survey,"Felix Mohr, Jan N. van Rijn",2022,http://arxiv.org/abs/2201.12150v2,
45,Active learning for data streams: a survey,"Davide Cacciarelli, Murat Kulahci",2023,http://arxiv.org/abs/2302.08893v4,
46,Physics-Inspired Interpretability Of Machine Learning Models,"Maximilian P Niroomand, David J Wales",2023,http://arxiv.org/abs/2304.02381v2,
47,Privacy-preserving machine learning for healthcare: open challenges and future perspectives,"Alejandro Guerra-Manzanares, L. Julian Lechuga Lopez, Michail Maniatakos, Farah E. Shamout",2023,http://arxiv.org/abs/2303.15563v1,
48,A Benchmark Study of Machine Learning Models for Online Fake News Detection,"Junaed Younus Khan, Md. Tawkat Islam Khondaker, Sadia Afroz, Gias Uddin, Anindya Iqbal",2019,http://arxiv.org/abs/1905.04749v2,
49,MerLin: A Discovery Engine for Photonic and Hybrid Quantum Machine Learning,"Cassandre Notton, Benjamin Stott, Philippe Schoeb, Anthony Walsh, Grégoire Leboucher, Vincent Espitalier, Vassilis Apostolou, Louis-Félix Vigneux, Alexia Salavrakos, Jean Senellart",2026,http://arxiv.org/abs/2602.11092v2,
50,Emotion in Reinforcement Learning Agents and Robots: A Survey,"Thomas M. Moerland, Joost Broekens, Catholijn M. Jonker",2017,http://arxiv.org/abs/1705.05172v1,
51,Fourier Learning Machines: Nonharmonic Fourier-Based Neural Networks for Scientific Machine Learning,"Mominul Rubel, Adam Meyers, Gabriel Nicolosi",2025,http://arxiv.org/abs/2509.08759v3,
52,Cybersecurity and cybersecurity culture,Gulsebnem Bishop,2025,https://doi.org/10.1201/9781003368496-1,
53,Cybersecurity Origins,,2021,https://doi.org/10.7551/mitpress/11656.003.0003,
54,Cybersecurity in Layers,,2021,https://doi.org/10.7551/mitpress/11656.003.0006,
55,Cybersecurity for the Future,,2021,https://doi.org/10.7551/mitpress/11656.003.0010,
56,Cybersecurity and sovereignty,,,https://doi.org/10.51174/ajdss.0302/vjiq5734,
57,CYBERSECURITY MANAGEMENT OF IT PRODUCTS,"Ihor Frolov, Yanina Kolodinska",2024,https://doi.org/10.28925/2663-4023.2024.23.310317,
58,Governmental Cybersecurity,Greg Austin,2018,https://doi.org/10.1007/978-3-319-68436-9_6,
59,Cybersecurity Frameworks,Dan Weis,2024,https://doi.org/10.1007/979-8-8688-0785-5_5,
60,Cybersecurity in Games,Cezary Bella,,https://doi.org/10.35467/cal/215976,
61,Road Vehicles - Cybersecurity Engineering,,,https://doi.org/10.4271/iso/sae21434,
62,Space Cybersecurity Norms,"Peter Sharfman, Samuel Sanders Visner",2023,http://arxiv.org/abs/2306.07441v1,
63,Coherence-driven inference for cybersecurity,Steve Huntsman,2025,http://arxiv.org/abs/2509.18520v1,
64,Synergistic Development of Cybersecurity and Functional Safety for Smart Electric Vehicles,Siddhesh Pimpale,2025,http://arxiv.org/abs/2511.07713v1,
65,Are Enterprises Ready for Quantum-Safe Cybersecurity?,"Tran Duc Le, Phuc Hao Do, Truong Duy Dinh, Van Dai Pham",2025,http://arxiv.org/abs/2509.01731v1,
66,"A Review of Quantum Cybersecurity: Threats, Risks and Opportunities","Md Jobair Hossain Faruk, Sharaban Tahora, Masrura Tasnim, Hossain Shahriar, Nazmus Sakib",2022,http://arxiv.org/abs/2207.03534v1,
67,Applying Public Health Systematic Approaches to Cybersecurity: The Economics of Collective Defense,"Josiah Dykstra, William Yurcik",2026,http://arxiv.org/abs/2602.13869v1,
68,Towards Autonomous Cybersecurity: An Intelligent AutoML Framework for Autonomous Intrusion Detection,"Li Yang, Abdallah Shami",2024,http://arxiv.org/abs/2409.03141v1,
69,Autonomous Low Power IoT System Architecture for Cybersecurity Monitoring,"Zag ElSayed, Nelly Elsayed, Chengcheng Li, Magdy Bayoumi",2021,http://arxiv.org/abs/2106.00834v4,
70,Cybersecurity Guidance for Smart Homes: A Cross-National Review of Government Sources,"Victor Jüttner, Erik Buchmann",2026,http://arxiv.org/abs/2603.21703v1,
71,Classifying SMEs for Approaching Cybersecurity Competence and Awareness,"Alireza Shojaifar, Heini Jarvinen",2021,http://arxiv.org/abs/2110.05370v1,
72,"bb. Besonderheiten aufgrund von §§ 354 Ia, 362 Ia AO",,,https://doi.org/10.3726/978-3-653-05155-1/13,
73,Quantum Computing II,M. Suhail Zubairy,2020,https://doi.org/10.1093/oso/9780198854227.003.0016,
74,Quantum Computing I,M. Suhail Zubairy,2020,https://doi.org/10.1093/oso/9780198854227.003.0015,
75,Application: Quantum Computing,Michael G. Raymer,2017,https://doi.org/10.1093/wentk/9780190250720.003.0010,
76,Distributed Quantum Computing – Classical and Quantum,,2023,https://doi.org/10.1002/9781394185542.ch3,
77,Quantum Computing for Network Medicine-Based Epistatic Disease Mechanism Mining - Ready for Quantum Computing?,Jan Baumbach,,https://doi.org/10.58647/rexpo.25000079.v1,
78,Distributed Quantum Computing – Distributed Control of Quantum Gates,,2023,https://doi.org/10.1002/9781394185542.ch4,
79,Quantum computing,,2013,https://doi.org/10.1017/cbo9780511979309.011,
80,Quantum Computing with Quantum Dots,,2008,https://doi.org/10.1201/9781420012293-23,
81,Mathematics Behind Quantum Computing,Bhagvan Kommadi,2020,https://doi.org/10.1007/978-1-4842-6516-1_2,
82,Quantum Computing Fundamentals,,2022,https://doi.org/10.1017/9781009099974.004,
83,Tierkreis: A Dataflow Framework for Hybrid Quantum-Classical Computing,"Seyon Sivarajah, Lukas Heidemann, Alan Lawrence, Ross Duncan",2022,http://arxiv.org/abs/2211.02350v1,
84,Quantum Computing: Vision and Challenges,"Sukhpal Singh Gill, Oktay Cetinkaya, Stefano Marrone, Daniel Claudino, David Haunschild, Leon Schlote, Huaming Wu, Carlo Ottaviani, Xiaoyuan Liu, Sree Pragna Machupalli, Kamalpreet Kaur, Priyansh Arora, Ji Liu, Ahmed Farouk, Houbing Herbert Song, Steve Uhlig, Kotagiri Ramamohanarao",2024,http://arxiv.org/abs/2403.02240v5,
85,"Entangling Disciplines: Causality, Entropy and Time-Travel Paradoxes on a Quantum Computer",Maria Violaris,2025,http://arxiv.org/abs/2506.15909v1,
86,Unifying communication paradigms in measurement-based delegated quantum computing,"Fabian Wiesner, Jens Eisert, Anna Pappa",2025,http://arxiv.org/abs/2506.21988v2,
87,Arbitrary Ground State Observables from Quantum Computed Moments,"Harish J. Vallury, Lloyd C. L. Hollenberg",2023,http://arxiv.org/abs/2312.06975v1,
88,Quantum computing online workshops and hackathon for Spanish speakers: A case study,"Alberto Maldonado-Romo, Lia Yeh",2023,http://arxiv.org/abs/2302.12119v1,
89,Strengths and Weaknesses of Quantum Computing,"Charles H. Bennett, Ethan Bernstein, Gilles Brassard, Umesh Vazirani",1997,http://arxiv.org/abs/quant-ph/9701001v1,
90,Quantum Computing in the NISQ era and beyond,John Preskill,2018,http://arxiv.org/abs/1801.00862v3,
91,Quantum computing and information extraction for a dynamical quantum system,"Giuliano Benenti, Giulio Casati, Simone Montangero",2004,http://arxiv.org/abs/quant-ph/0402010v1,
92,Cavity QED and Quantum Computation in the Weak Coupling Regime II : Complete Construction of the Controlled-Controlled NOT Gate,"Kazuyuki Fujii, Kyoko Higashida, Ryosuke Kato, Yukako Wada",2005,http://arxiv.org/abs/quant-ph/0501046v1,
93,Acknowledgment to the Reviewers of IoT in 2022,IoT IoT Editorial Office,,https://doi.org/10.3390/iot4010003,
94,Acknowledgment to Reviewers of IoT in 2021,,,https://doi.org/10.3390/iot3010007,
95,Internet of things (IoT) � Industrial IoT,,,https://doi.org/10.3403/30419733,
96,Internet of things (IoT) � Industrial IoT,,,https://doi.org/10.3403/30419733u,
97,Sem título,,,https://doi.org/10.3030/777855,
98,Internet of things (IoT) � Real-time IoT framework,,,https://doi.org/10.3403/30411141,
99,Internet of Things (IoT). Interoperability for IoT systems,,,https://doi.org/10.3403/bsisoiec21823,
100,Azure IoT Hub,Scott Klein,2017,https://doi.org/10.1007/978-1-4842-2143-3_3,
101,Advancing IoT Platforms Interoperability,Ovidiu Vermesan,2018,https://doi.org/10.13052/rp-9788770220057,
102,IoT Analytics,,2021,https://doi.org/10.1017/9781108913560.019,
103,Security for the Industrial IoT: The Case for Information-Centric Networking,"Michael Frey, Cenk Gündoğan, Peter Kietzmann, Martine Lenders, Hauke Petersen, Thomas C. Schmidt, Felix Shzu-Juraschek, Matthias Wählisch",2018,http://arxiv.org/abs/1810.04645v2,
104,Marine IoT Systems with Space-Air-Sea Integrated Networks: Hybrid LEO and UAV Edge Computing,"Sooyeob Jung, Seongah Jeong, Jinkyu Kang, Joonhyuk Kang",2023,http://arxiv.org/abs/2301.03815v1,
105,Introduction to IoT,"Tajkia Nuri Ananna, Munshi Saifuzzaman",2023,http://arxiv.org/abs/2312.06689v2,
106,Towards Smart Healthcare: Challenges and Opportunities in IoT and ML,"Munshi Saifuzzaman, Tajkia Nuri Ananna",2023,http://arxiv.org/abs/2312.05530v2,
107,Fostering new Vertical and Horizontal IoT Applications with Intelligence Everywhere,"Hung Cao, Monica Wachowicz, Rene Richard, Ching-Hsien Hsu",2023,http://arxiv.org/abs/2310.00346v1,
108,Standards-Based Worldwide Semantic Interoperability for IoT,"Erno Kovacs, Martin Bauer, Jaeho Kim, Jaeseok Yun, Franck Le Gall, Mengxuan Zhao",2018,http://arxiv.org/abs/1808.00386v1,
109,The Role of UAV-IoT Networks in Future Wildfire Detection,"Osama M. Bushnaq, Anas Chaaban, Tareq Y. Al-Naffouri",2020,http://arxiv.org/abs/2007.14158v1,
110,Twenty-one key factors to choose an IoT platform: Theoretical framework and its applications,"Mehar Ullah, Pedro H. J. Nardelli, Annika Wolff, Kari Smolander",2020,http://arxiv.org/abs/2004.04924v1,
111,Enhancing IoT Security: A Novel Feature Engineering Approach for ML-Based Intrusion Detection Systems,"Afsaneh Mahanipour, Hana Khamfroush",2024,http://arxiv.org/abs/2404.19114v1,
112,Profiling and Improving the Duty-Cycling Performance of Linux-based IoT Devices,"Immanuel Amirtharaj, Tai Groot, Behnam Dezfouli",2018,http://arxiv.org/abs/1808.10097v2,
113,Revista 137,IA I.P.N.,2026,https://doi.org/10.35426/iav55n137,
114,Quantum Computing at Fermilab,Gabriel Perdue,2024,https://doi.org/10.2172/2361088,
115,Healthcare IoT,,2021,https://doi.org/10.1017/9781108913560.016,
116,Defining Artificial Intelligence,Jerry Kaplan,2016,https://doi.org/10.1093/wentk/9780190602383.003.0001,
117,Philosophy of Artificial Intelligence,Jerry Kaplan,2016,https://doi.org/10.1093/wentk/9780190602383.003.0004,
118,Frontiers of Artificial Intelligence,Jerry Kaplan,2016,https://doi.org/10.1093/wentk/9780190602383.003.0003,
119,Artificial Intelligence and the Law,Jerry Kaplan,2016,https://doi.org/10.1093/wentk/9780190602383.003.0005,
120,Possible Future Impacts of Artificial Intelligence,Jerry Kaplan,2016,https://doi.org/10.1093/wentk/9780190602383.003.0008,
121,The Intellectual History of Artificial Intelligence,Jerry Kaplan,2016,https://doi.org/10.1093/wentk/9780190602383.003.0002,
122,Artificial Intelligence. Artificial Intelligence Conformity Assessment,,,https://doi.org/10.3403/30483942,
123,Artificial Intelligence. Artificial Intelligence Conformity Assessment,,,https://doi.org/10.3403/30483942u,
124,Artificial intelligence,"Gillian Pocock, Hugh M",1993,https://doi.org/10.1093/hesc/9780198557364.003.0001,
125,Artificial intelligence abstracts,,1987,https://doi.org/10.1016/0004-3702(87)90098-1,
126,What’s Deep About Deep Learning?,,2018,https://doi.org/10.4135/9781506368603.n2,
127,Designing Deep Learning: Learning Partnerships,,2018,https://doi.org/10.4135/9781506368603.n5,
128,Deep Learning in Action,,2018,https://doi.org/10.4135/9781506368603.n4,
129,New Measures for Deep Learning,,2018,https://doi.org/10.4135/9781506368603.n9,
130,Reinforcement Learning and Deep Reinforcement Learning,,2021,https://doi.org/10.1017/9781108955652.016,
131,"Designing Deep Learning: Learning Environments, Leveraging Digital, Pedagogical Practices",,2018,https://doi.org/10.4135/9781506368603.n6,
132,Introduction to Deep Learning,,2019,https://doi.org/10.7551/mitpress/11171.003.0004,
133,"Computer Vision, Deep Learning, Deep Reinforcement Learning",Farshid PirahanSiah,2019,https://doi.org/10.14293/s2199-1006.1.sor-uncat.clzwyuz.v1,
134,Deep Reinforcement Learning,,2022,https://doi.org/10.1017/9781108891530.017,
135,The Future of Deep Learning,,2019,https://doi.org/10.7551/mitpress/11171.003.0010,
136,1. Introduction to natural language processing,,2014,https://doi.org/10.1075/nlp.11.01ch1,
137,"Robotics, Grounding and Natural Language Processing",Daichi Mochihashi,2020,https://doi.org/10.5715/jnlp.27.963,
138,Chapter 1. Natural language processing,,2007,https://doi.org/10.1075/nlp.5.c1,
139,"Vision, status, and research topics of Natural Language Processing","Xieling Chen, Haoran Xie, Xiaohui Tao",2022,https://doi.org/10.1016/j.nlp.2022.100001,
140,NLPutils: Natural Language Processing Utilities,Kurt Hornik,2014,https://doi.org/10.32614/cran.package.nlputils,
141,Automatic language ability assessment method based on natural language processing,"Nonso Nnamoko, Themis Karaminis, Jack Procter, Joseph Barrowclough, Ioannis Korkontzelos",2024,https://doi.org/10.1016/j.nlp.2024.100094,
142,What Is Natural Language Processing?,Taweh Beysolow II,2018,https://doi.org/10.1007/978-1-4842-3733-5_1,
143,Classical Approaches to Natural Language Processing Robert Dale,,2010,https://doi.org/10.1201/9781420085938-9,
144,Bibliometric analysis of natural language processing using CiteSpace and VOSviewer,"Xiuming Chen, Wenjie Tian, Haoyun Fang",2025,https://doi.org/10.1016/j.nlp.2024.100123,
145,Multilingual Natural Language Processing,,2025,https://doi.org/10.1002/9781394297290.ch8,
146,2022 IEEE International Conference on Blockchain Blockchain 2022,,2022,https://doi.org/10.1109/blockchain55522.2022.00001,
147,Program Committee: Blockchain 2024,,2024,https://doi.org/10.1109/blockchain62396.2024.00009,
148,Organizing Committee: Blockchain 2022,,2022,https://doi.org/10.1109/blockchain55522.2022.00009,
149,Blockchain 2020 Organizing Committee,,2020,https://doi.org/10.1109/blockchain50366.2020.00008,
150,Organizing Committee: Blockchain 2024,,2024,https://doi.org/10.1109/blockchain62396.2024.00008,
151,Technical Program Committee: Blockchain 2022,,2022,https://doi.org/10.1109/blockchain55522.2022.00010,
152,Blockchain 2019 Organizing and Program Committees,,2019,https://doi.org/10.1109/blockchain.2019.00009,
153,On Blockchain Metatransactions,Istvan Andras Seres,2020,https://doi.org/10.1109/blockchain50366.2020.00029,
154,Toward More Rigorous Blockchain Research: Recommendations for Writing Blockchain Case Studies,Horst Treiblmaier,,https://doi.org/10.3389/fbloc.2019.00003,
155,Blockchain,,2024,https://doi.org/10.7551/mitpress/14994.003.0005,
156,Cloud Computing Model,,2017,https://doi.org/10.1017/9781316941386.005,
157,Cloud Computing,,2013,https://doi.org/10.1016/b978-0-12-404627-6.00013-0,
158,Cloud Computing,,,https://doi.org/10.1057/9781137273642.0008,
159,Cloud Computing,,2013,https://doi.org/10.1016/b978-0-12-404627-6.00014-2,
160,Cloud Computing Services,,2017,https://doi.org/10.1017/9781316941386.006,
161,IEEE Cloud Computing Call for Papers Connecting Fog and Cloud Computing,,2016,https://doi.org/10.1109/mcc.2016.83,
162,Cloud Computing Conference 2010,Cloud Slam,2009,https://doi.org/10.4016/15181.01,
163,Cloud Computing Conference 2010,Cloud Slam,2009,https://doi.org/10.4016/15181.03,
164,Governance of Cloud Computing,,,https://doi.org/10.1057/9781137273642.0010,
165,Types of Cloud Computing,,2023,https://doi.org/10.7551/mitpress/14821.003.0006,
166,"6. Big data, big business",Dawn E. Holmes,2017,https://doi.org/10.1093/actrade/9780198779575.003.0006,
167,BIG: Big Data Intelligence Governance Framework,Mohamed Makhlouf,2022,https://doi.org/10.1109/bigdata55660.2022.10020244,
168,Big Data 2019 Author Index,,2019,https://doi.org/10.1109/bigdata47090.2019.9006243,
169,Why Big Data = Big Deal,Vasant Dhar,2014,https://doi.org/10.1089/big.2014.1522,
170,Big Data Literature Search,,2014,https://doi.org/10.1089/big.2014.1526,
171,Big Data Sources,,2012,https://doi.org/10.1002/9781119205005.ch5,
172,Big-n versus Big-p in Big Data,,2016,https://doi.org/10.1201/b19567-7,
173,Big Data 2018 Index,,2018,https://doi.org/10.1109/bigdata.2018.8622137,
174,"Big data, big data quality problem","David Becker, Trish Dunn King, Bill McMullen",2015,https://doi.org/10.1109/bigdata.2015.7364064,
175,"Big data, Big bang?",Jacques Bughin,2016,https://doi.org/10.1186/s40537-015-0014-3,
176,Analogizing the Internet of Things,Scott J. Shackelford,2020,https://doi.org/10.1093/wentk/9780190943813.003.0006,
177,Governing the Internet of Things,Scott J. Shackelford,2020,https://doi.org/10.1093/wentk/9780190943813.003.0005,
178,Welcome to the Internet of Things,Scott J. Shackelford,2020,https://doi.org/10.1093/wentk/9780190943813.003.0002,
179,IEEE Internet of Things Journal,,2016,https://doi.org/10.1109/jiot.2016.2544406,
180,IEEE Internet of Things Journal,,2018,https://doi.org/10.1109/jiot.2018.2792722,
181,IEEE Internet of Things Journal,,2017,https://doi.org/10.1109/jiot.2017.2712679,
182,IEEE Internet of Things Journal,,2016,https://doi.org/10.1109/jiot.2016.2599683,
183,IEEE Internet of Things Journal,,2017,https://doi.org/10.1109/jiot.2017.2689166,
184,IEEE Internet of Things Journal,,2016,https://doi.org/10.1109/jiot.2016.2544418,
185,IEEE Internet of Things Journal,,2016,https://doi.org/10.1109/jiot.2016.2599685,
186,Proceedings 2020 IEEE International Conference on Edge Computing EDGE 2020,,2020,https://doi.org/10.1109/edge50951.2020.00001,
187,Computing Beyond Edge: The Swarm Computing Concept,Ana Juan Ferrer,2023,https://doi.org/10.1007/978-3-031-23344-9_8,
188,Edge and Fog Computing,Ana Juan Ferrer,2023,https://doi.org/10.1007/978-3-031-23344-9_6,
189,Edge computing architectures,Shajulin Benedict,,https://doi.org/10.1088/978-0-7503-5593-3ch2,
190,Rational Social Edge Computing,"Dong Wang, Daniel ‘Yue’ Zhang",2023,https://doi.org/10.1007/978-3-031-26936-3_3,
191,Computing and storage models for edge computing,,2020,https://doi.org/10.1049/pbpc033e_ch6,
192,Proceedings 2020 IEEE 13th International Conference on Edge Computing,,2020,https://doi.org/10.1109/edge50951.2020.00002,
193,Edge computing architectures,,2020,https://doi.org/10.1049/pbpc033e_ch2,
194,Distributed big data computing platforms for edge computing,,2020,https://doi.org/10.1049/pbpc033e_ch9,
195,An Energy-Aware Edge Server Placement Algorithm in Mobile Edge Computing,"Yuanzhe Li, Shangguang Wang",2018,https://doi.org/10.1109/edge.2018.00016,
196,The Impact of Artificial Intelligence on Human Labor,Jerry Kaplan,2016,https://doi.org/10.1093/wentk/9780190602383.003.0006,
197,Making Big Sense From Big Data,Thomas Hartung,,https://doi.org/10.3389/fdata.2018.00005,
198,IEEE Internet of Things Journal,,2016,https://doi.org/10.1109/jiot.2016.2620698,
199,IEEE Internet of Things Journal,,2017,https://doi.org/10.1109/jiot.2017.2770762,
200,"The Artificial Scientist: Logicist, Emergentist, and Universalist Approaches to Artificial General Intelligence","Michael Timothy Bennett, Yoshihiro Maruyama",2021,http://arxiv.org/abs/2110.01831v1,
1579,Text Mining,,,https://doi.org/10.1093/obo/9780199772810-0295,
201,"Compression, The Fermi Paradox and Artificial Super-Intelligence",Michael Timothy Bennett,2021,http://arxiv.org/abs/2110.01835v1,
202,Creative Problem Solving in Artificially Intelligent Agents: A Survey and Framework,"Evana Gizzi, Lakshmi Nair, Sonia Chernova, Jivko Sinapov",2022,http://arxiv.org/abs/2204.10358v1,
203,"A Review on Explainable Artificial Intelligence for Healthcare: Why, How, and When?","Subrato Bharati, M. Rubaiyat Hossain Mondal, Prajoy Podder",2023,http://arxiv.org/abs/2304.04780v1,
204,Artificial Intelligence Framework for Simulating Clinical Decision-Making: A Markov Decision Process Approach,"Casey C. Bennett, Kris Hauser",2013,http://arxiv.org/abs/1301.2158v1,
205,"Modeling Belief in Dynamic Systems, Part II: Revision and Update","N Friedman, J. Y. Halpern",1999,http://arxiv.org/abs/cs/9903016v1,
